LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;DEBTINC;BAD
2900;78600;113000;DebtCon;ProfExe;6,00;1;0;165,33;2;26;0,00;1
2900;103949;112505;HomeImp;Office;1,00;0;0;96,10;0;13;30,05;0
2900;104373;120702;HomeImp;Office;2,00;0;0;101,54;0;13;29,92;0
2900;7750;67996;HomeImp;Other;16,00;3;0;122,20;2;8;36,21;1
2900;61962;70915;DebtCon;Mgr;2,00;0;0;282,80;3;37;49,21;1
3000;104570;121729;HomeImp;Office;2,00;0;0;85,88;0;14;32,06;0
3000;7000;20300;HomeImp;Other;3,00;0;0;50,80;5;9;0,00;1
3000;0;8800;HomeImp;Other;2,00;0;1;77,77;0;3;0,00;1
3000;0;33000;HomeImp;Other;1,00;0;1;23,30;1;2;0,00;1
3000;119826;193500;HomeImp;Other;8,00;0;0;130,03;0;27;0,00;1
3000;20000;29750;DebtCon;Other;2,00;0;0;187,07;0;12;0,00;1
3000;0;14500;HomeImp;Other;3,00;0;0;9,30;14;2;0,00;1
3000;0;14100;HomeImp;Other;1,00;0;0;104,20;0;19;0,00;1
3000;47000;82700;HomeImp;ProfExe;10,00;0;1;262,17;5;26;0,00;1
3000;34542;45900;HomeImp;Mgr;8,50;0;2;62,37;0;10;0,00;1
3000;58000;71500;HomeImp;Mgr;10,00;0;2;211,93;0;25;0,00;0
3000;47000;56400;HomeImp;Office;21,00;0;0;201,87;0;20;0,00;0
3100;39589;36100;HomeImp;Other;1,50;0;0;153,17;1;14;0,00;1
3200;67848;74566;HomeImp;Mgr;10,00;0;1;206,43;0;25;40,12;0
3200;48603;61000;HomeImp;ProfExe;28,00;0;4;122,03;1;25;0,00;1
3200;27200;40834;HomeImp;Other;0,00;0;0;298,13;0;7;35,55;1
3200;54000;64850;HomeImp;Other;1,00;0;0;121,87;3;21;0,00;1
3200;74864;87266;HomeImp;ProfExe;7,00;0;0;250,63;0;12;42,91;0
3300;126541;134527;HomeImp;Sales;9,00;1;0;139,00;0;36;0,00;1
3300;130518;164317;DebtCon;Other;9,00;0;6;192,29;0;33;35,73;1
3400;37000;52000;HomeImp;Office;2,00;0;1;183,30;0;6;0,00;1
3500;23200;38666;HomeImp;Other;11,00;0;0;162,37;0;14;0,00;1
3500;19400;20494;HomeImp;Other;5,00;0;0;95,93;0;9;0,00;1
3600;61584;61800;HomeImp;ProfExe;10,00;0;0;0,00;0;0;0,00;1
3600;41900;52490;HomeImp;Mgr;3,00;0;0;72,03;2;4;0,00;1
3600;83700;111800;HomeImp;ProfExe;6,00;0;0;192,73;1;28;0,00;0
3600;61327;76484;HomeImp;Mgr;9,00;0;2;202,51;0;25;41,52;0
3600;100693;114743;HomeImp;Office;6,00;0;0;88,47;0;14;29,39;0
3600;48507;61000;DebtCon;Office;13,00;1;4;97,40;0;17;0,00;1
3600;52337;63989;HomeImp;Office;20,00;0;0;204,27;0;20;20,47;0
3700;17857;21144;HomeImp;Other;5,00;0;0;129,72;1;9;26,63;1
3800;19135;97692;HomeImp;Mgr;1,60;1;6;252,63;1;25;0,00;1
3800;51180;63459;HomeImp;Office;20,00;0;0;203,75;0;20;20,07;0
3800;11543;46045;HomeImp;Self;0,00;0;0;204,65;0;11;42,17;0
3900;29896;45960;HomeImp;Other;11,00;0;0;146,12;0;14;24,48;1
3900;14500;22092;HomeImp;Other;3,50;0;1;150,30;5;8;0,00;1
3900;52825;63000;DebtCon;ProfExe;8,00;0;4;171,67;1;31;0,00;0
3900;102143;118742;HomeImp;Office;2,00;0;0;85,28;0;13;29,34;0
3900;21200;39000;DebtCon;Mgr;4,00;0;1;86,57;2;14;0,00;1
4000;105164;112774;HomeImp;Office;1,00;0;0;94,72;0;13;29,39;0
4000;54543;61777;HomeImp;Office;21,00;0;0;205,59;0;19;21,81;0
4000;0;80609;HomeImp;Other;1,50;0;2;126,53;3;12;0,00;1
4000;26572;31960;HomeImp;Office;11,00;0;0;117,80;0;8;41,29;1
4000;17000;52012;HomeImp;ProfExe;22,00;3;1;85,33;1;9;0,00;1
4000;29562;37200;DebtCon;Other;6,00;0;0;92,13;1;26;0,00;1
4000;41700;76725;HomeImp;Other;0,50;0;3;136,13;0;15;0,00;1
4000;58000;69440;HomeImp;Other;3,50;0;1;168,67;0;18;0,00;1
4000;5700;18000;DebtCon;Other;0,00;0;0;12,20;0;17;0,00;1
4000;45000;58350;HomeImp;Mgr;3,50;0;0;162,00;3;16;0,00;1
4000;7000;16020;HomeImp;Other;18,00;0;1;85,80;2;23;0,00;1
4000;66000;79050;HomeImp;Other;1,80;2;0;279,00;1;6;0,00;0
4000;62000;78000;HomeImp;Other;4,00;0;0;109,57;0;15;0,00;0
4000;64240;63990;HomeImp;Sales;5,00;2;0;160,30;1;23;0,00;0
4000;74000;93000;HomeImp;ProfExe;2,60;1;3;186,63;0;9;0,00;1
4000;55000;59000;DebtCon;Other;12,00;2;0;146,10;0;22;0,00;1
4000;67625;80698;HomeImp;Mgr;11,00;0;1;212,35;0;25;39,13;0
4000;67533;71865;HomeImp;Mgr;10,00;0;2;227,79;0;25;39,17;0
4100;0;19132;HomeImp;Other;0,00;0;0;100,77;0;19;33,84;1
4100;58500;65000;HomeImp;Other;8,00;1;2;63,93;2;15;0,00;1
4100;57992;63797;DebtCon;ProfExe;7,00;0;4;165,51;1;31;22,28;0
4200;56544;59218;HomeImp;Office;19,00;0;0;211,00;1;20;19,03;0
4200;34800;50225;HomeImp;Other;2,00;1;0;93,50;1;5;0,00;1
4200;67700;77000;DebtCon;Sales;4,00;0;0;128,83;0;31;0,00;0
4200;66272;82953;HomeImp;Other;3,00;0;0;110,28;0;15;43,45;0
4200;50216;58541;HomeImp;Office;19,00;0;0;209,87;0;19;20,21;0
4300;71206;78698;DebtCon;Sales;3,00;0;0;129,93;0;31;34,18;0
4300;68815;79852;HomeImp;Other;6,00;0;0;105,12;0;14;41,81;0
4300;72021;80027;HomeImp;Other;2,00;2;0;263,97;0;5;36,43;0
4400;53969;63869;DebtCon;ProfExe;7,00;0;3;162,39;0;30;23,58;0
4400;53091;64074;DebtCon;Office;14,00;1;3;89,86;0;17;39,16;1
4500;66127;79087;HomeImp;Other;4,00;1;0;81,35;0;15;40,71;0
4500;39000;66000;HomeImp;Other;1,00;0;0;170,37;1;19;0,00;1
4500;71082;79247;HomeImp;Other;4,00;0;0;118,76;0;14;41,42;0
4500;34184;46000;HomeImp;Mgr;3,50;0;1;122,60;2;22;0,00;1
4500;66517;87000;DebtCon;ProfExe;10,00;0;4;125,80;0;34;0,00;1
4500;45500;50000;HomeImp;Other;6,00;0;0;86,17;0;18;0,00;0
4500;118000;146870;HomeImp;ProfExe;4,50;2;0;203,87;1;20;0,00;1
4500;90000;105800;HomeImp;Other;6,00;2;3;80,10;3;10;0,00;1
4700;71855;88566;HomeImp;Other;2,00;2;0;283,96;0;5;36,48;0
4700;49100;58238;HomeImp;ProfExe;0,10;0;0;61,80;2;17;0,00;1
4700;88026;115506;HomeImp;ProfExe;6,00;0;0;182,25;0;27;29,21;0
4700;26900;45000;HomeImp;ProfExe;9,00;1;2;90,47;1;16;0,00;1
4800;56067;63102;DebtCon;ProfExe;9,00;0;3;160,15;1;30;21,58;0
4800;80482;88342;HomeImp;ProfExe;7,00;0;0;275,03;0;11;43,72;0
4900;58688;63348;DebtCon;ProfExe;9,00;0;3;179,16;2;31;22,54;0
4900;25597;23031;HomeImp;Other;5,00;0;0;101,75;0;8;33,24;1
4900;67794;84630;HomeImp;Other;4,00;0;0;112,57;0;15;41,67;0
4900;44000;59745;HomeImp;Other;10,00;0;0;81,50;3;13;0,00;1
4900;170986;245300;DebtCon;Sales;0,00;0;0;131,93;0;22;0,00;0
4900;65576;65774;HomeImp;Other;6,00;1;2;61,64;1;14;40,59;1
4900;57461;68494;DebtCon;ProfExe;8,00;0;4;183,64;0;30;22,80;0
5000;66839;87168;HomeImp;Other;4,00;0;0;122,60;0;15;40,62;0
5000;12457;53448;HomeImp;Self;0,00;0;0;207,14;0;12;44,11;0
5000;90059;113714;HomeImp;ProfExe;7,00;0;0;193,64;0;28;25,90;0
5000;22320;34900;HomeImp;Other;10,00;0;0;65,70;1;5;0,00;1
5000;40000;70500;HomeImp;Mgr;0,40;0;0;61,77;2;8;0,00;1
5000;100882;102700;HomeImp;Mgr;5,00;0;1;58,87;0;16;0,00;1
5000;31000;47350;HomeImp;ProfExe;12,00;0;0;0,00;0;0;0,00;1
5000;63125;126500;HomeImp;Office;3,00;0;0;100,30;0;14;0,00;1
5000;100000;129693,5;HomeImp;Mgr;13,00;0;0;0,00;0;0;0,00;1
5000;0;132000;HomeImp;Other;17,50;0;2;121,90;0;14;0,00;1
5000;0;9100;HomeImp;Other;1,00;0;0;54,73;2;8;0,00;1
5000;34200;50830;HomeImp;Other;6,00;0;0;57,00;1;9;0,00;1
5000;0;71277;HomeImp;Other;10,00;0;0;72,43;1;12;0,00;1
5000;123000;157500;HomeImp;Mgr;9,00;0;0;0,00;0;0;0,00;1
5000;16600;25250;HomeImp;Other;6,00;0;0;88,70;1;3;0,00;1
5000;0;52000;HomeImp;Other;0,00;0;1;285,33;0;6;0,00;1
5000;22700;34225;HomeImp;Other;4,00;0;0;74,63;3;9;0,00;1
5000;6000;38575;HomeImp;Self;7,00;0;1;335,03;3;42;0,00;1
5000;0;74500;HomeImp;Other;19,00;0;0;0,00;0;0;0,00;1
5000;0;94119;HomeImp;Other;19,00;0;0;0,00;0;0;0,00;1
5000;73126;87500;DebtCon;Other;1,00;0;0;125,97;2;10;0,00;0
5000;72517;86250;DebtCon;Mgr;19,00;0;1;300,37;1;24;0,00;0
5000;26037;35000;HomeImp;ProfExe;12,00;0;0;182,63;0;13;0,00;0
5000;39000;50340;HomeImp;Office;10,00;0;0;179,83;0;19;0,00;0
5000;0;26550;DebtCon;Other;1,70;0;0;276,97;1;14;0,00;0
5000;0;36375;HomeImp;Other;3,00;0;0;266,80;1;26;0,00;0
5000;74225;89640;DebtCon;ProfExe;0,30;0;0;0,00;0;0;0,00;0
5000;0;65400;HomeImp;Office;1,50;0;0;51,77;0;4;0,00;0
5000;0;37500;HomeImp;Other;0,00;0;3;107,13;10;5;0,00;1
5000;78565;98500;DebtCon;ProfExe;24,00;0;0;51,77;3;14;0,00;0
5000;59900;80800;DebtCon;ProfExe;15,00;0;0;219,13;1;18;0,00;0
5000;10171;26809;HomeImp;Office;13,00;3;6;228,30;0;24;0,00;1
5000;78893;82600;HomeImp;Mgr;16,00;0;0;133,90;1;34;0,00;1
5000;85165;107940;HomeImp;Mgr;6,00;5;3;122,77;5;28;0,00;1
5000;68000;75616;DebtCon;ProfExe;0,10;0;0;131,87;0;30;0,00;1
5000;71571;85100;DebtCon;ProfExe;1,40;0;1;82,13;0;13;0,00;1
5000;28000;36810;DebtCon;Other;2,00;1;0;222,20;1;6;0,00;1
5000;40000;32480;HomeImp;Other;8,00;3;2;163,37;1;16;0,00;1
5000;44674;59375;HomeImp;Office;10,00;0;0;178,69;0;19;26,45;0
5000;61999;75021,3;HomeImp;Other;5,00;0;0;97,10;0;23;0,00;1
5000;80153;97275;DebtCon;Other;1,00;0;0;120,68;2;10;37,51;0
5000;46696;85202;HomeImp;Other;2,00;1;2;148,34;0;14;46,49;1
5000;0;46281;HomeImp;Other;2,00;0;0;257,65;0;26;40,95;0
5000;66435;82819;HomeImp;Other;2,00;0;0;125,13;0;14;42,18;0
5100;179725;251962;DebtCon;Sales;0,00;0;0;127,50;0;22;40,31;0
5100;85583;115341;HomeImp;ProfExe;7,00;0;0;177,96;1;28;26,26;0
5100;72891;80691;HomeImp;Other;1,00;1;0;273,88;0;6;39,85;0
5100;30755;46735;HomeImp;Other;10,00;0;0;69,00;0;17;0,00;1
5100;0;26715;DebtCon;Other;1,00;0;0;258,79;0;14;26,72;0
5100;87258;121382;HomeImp;ProfExe;6,00;0;0;181,66;0;28;25,44;0
5100;0;28291;DebtCon;Other;2,00;0;0;277,94;1;14;23,64;0
5100;9900;30451;HomeImp;Other;11,00;0;0;21,20;0;2;0,00;1
5100;93000;116875;HomeImp;Other;10,00;0;0;417,63;2;50;0,00;0
5100;15500;34000;DebtCon;Other;0,00;1;2;86,23;2;13;0,00;1
5100;129319;141875;HomeImp;Sales;7,00;1;0;157,86;0;36;25,65;1
5100;66834;87361;HomeImp;Other;0,00;2;0;290,03;0;6;38,77;0
5100;73882;96031;DebtCon;Other;0,00;0;0;125,79;1;10;34,45;0
5100;74071;97064;DebtCon;Other;0,00;0;0;121,08;2;9;36,40;0
5100;62702;79784;HomeImp;Other;2,00;0;0;108,07;0;15;43,29;0
5200;0;36425;DebtCon;Other;2,00;0;0;266,81;1;14;23,80;0
5200;67000;77000;HomeImp;Other;9,00;0;1;119,70;0;25;0,00;0
5200;43039;53521;HomeImp;Office;11,00;0;0;184,30;0;19;24,41;0
5200;19000;26000;DebtCon;Other;0,00;1;0;17,20;10;7;0,00;0
5200;0;9500;DebtCon;Other;1,00;0;1;81,10;1;2;0,00;1
5200;91250;110000;HomeImp;Office;24,00;0;0;123,77;1;12;0,00;0
5200;16324;45187;HomeImp;Self;0,00;0;0;221,12;0;11;42,71;0
5200;40564;39527;HomeImp;Other;0,00;0;0;157,77;1;13;72,67;1
5300;66987;65111;HomeImp;Sales;4,00;1;0;175,33;1;22;40,44;0
5300;26908;36078;HomeImp;Other;0,00;0;0;302,36;0;8;39,20;1
5300;44993;50673;HomeImp;Office;7,00;0;0;184,74;0;18;27,91;0
5300;51000;64000;HomeImp;Mgr;10,00;1;0;98,33;0;12;0,00;1
5300;75958;91703;DebtCon;Other;0,00;0;0;124,18;1;10;34,60;0
5300;97132;117343;HomeImp;Office;22,00;0;0;109,93;1;11;35,84;0
5300;60826;80826;HomeImp;Mgr;10,00;0;1;212,89;0;25;38,59;0
5300;83552;96809;DebtCon;ProfExe;0,00;0;0;0,00;0;0;28,42;0
5300;47449;63895;HomeImp;Office;19,00;0;0;208,16;0;20;19,76;0
5300;50934;62957;HomeImp;Office;21,00;0;0;197,24;0;20;19,35;0
5400;0;65474;HomeImp;Office;1,00;0;0;40,71;0;4;37,85;0
5400;47844;52040;HomeImp;Office;8,00;0;0;189,03;0;18;24,70;0
5400;45509;57453;DebtCon;Sales;4,00;0;0;95,60;0;22;0,00;1
5400;59720;63450;HomeImp;ProfExe;5,00;0;1;199,90;1;20;0,00;1
5400;86922;119846;HomeImp;ProfExe;5,00;0;0;185,08;1;28;26,35;0
5400;68625;82304;DebtCon;Sales;2,00;0;0;136,63;0;30;32,05;0
5400;65814;85848;HomeImp;Other;4,00;0;0;122,94;0;15;44,09;0
5400;78300;88000;HomeImp;ProfExe;8,00;0;0;102,50;3;19;0,00;1
5500;70481;82446;HomeImp;Other;8,00;0;1;116,59;0;24;37,61;0
5500;87765;101053;DebtCon;ProfExe;22,00;0;0;55,56;2;13;31,38;0
5500;52897;65054;HomeImp;Office;20,00;0;0;189,30;0;19;20,65;0
5500;24700;35675;DebtCon;Other;1,00;0;3;153,93;3;27;0,00;1
5500;0;43132;HomeImp;Other;0,00;0;0;0,00;0;0;0,00;1
5500;21359;30000;DebtCon;Other;7,00;3;2;130,80;3;14;0,00;1
5500;0;13770;HomeImp;Mgr;5,00;0;1;167,37;1;8;0,00;1
5500;93051;115374;HomeImp;ProfExe;6,00;0;0;187,02;1;27;27,65;0
5500;87438;116679;HomeImp;ProfExe;6,00;0;0;186,42;1;27;28,42;0
5500;72147;69918;HomeImp;Sales;4,00;2;0;158,53;0;23;43,40;0
5500;40584;46645;HomeImp;Other;4,00;0;1;136,32;0;13;34,49;1
5500;0;12972;HomeImp;Other;1,00;0;1;82,29;0;2;36,99;1
5500;37368;48502;HomeImp;Mgr;9,00;0;2;49,00;0;10;33,13;1
5500;0;66251;HomeImp;Office;1,00;0;0;43,72;0;3;41,45;0
5500;71644;72696;HomeImp;Sales;4,00;2;0;150,87;0;22;40,44;0
5500;85845;122205;DebtCon;ProfExe;5,00;0;0;172,21;1;26;32,68;1
5600;53793;66379;HomeImp;Office;22,00;0;0;206,10;0;19;18,37;0
5600;69435;83489;DebtCon;ProfExe;14,00;0;0;200,42;1;17;22,84;0
5600;29648;39907;HomeImp;ProfExe;11,00;0;0;180,56;0;13;21,55;0
5600;76407;77485;HomeImp;Other;9,00;0;0;91,68;0;24;37,77;0
5600;5000;66700;HomeImp;Other;31,00;1;1;204,07;0;11;0,00;1
5600;55160;86800;HomeImp;Other;3,00;1;1;148,13;1;14;0,00;1
5600;41439;53893;HomeImp;Office;8,00;0;0;181,32;0;19;24,65;0
5600;15275;47954;HomeImp;Self;0,00;0;0;204,34;0;12;42,40;0
5700;100934;111496;HomeImp;Office;23,00;0;0;117,50;0;12;38,75;0
5700;49514;58249;HomeImp;Office;21,00;0;0;212,54;0;21;21,26;0
5700;76948;85753;HomeImp;Other;7,00;0;0;128,48;0;25;37,86;0
5700;28127;36524;HomeImp;ProfExe;10,00;0;0;181,28;0;13;24,34;0
5700;0;68591;HomeImp;Office;0,00;0;0;69,65;0;4;41,19;0
5700;26927;35461;DebtCon;Other;0,00;1;0;21,80;10;6;29,44;0
5700;70000;84579;DebtCon;Sales;0,10;0;0;95,90;1;17;0,00;1
5700;58400;75000;HomeImp;ProfExe;4,00;0;0;177,50;2;26;0,00;1
5700;80437;109647;HomeImp;ProfExe;9,50;0;0;104,40;0;14;0,00;1
5700;77213;92661;DebtCon;Sales;0,00;0;0;97,13;1;16;41,78;1
5700;62319;82923;HomeImp;Other;4,00;0;0;117,67;0;15;42,46;0
5700;71556;79538;HomeImp;Other;2,00;0;0;92,64;0;15;41,21;0
5700;0;39052;HomeImp;Other;3,00;0;0;272,22;0;25;39,90;0
5700;74172;79846;DebtCon;ProfExe;0,00;0;0;157,01;0;28;47,42;1
5700;28116;33450;DebtCon;Other;0,00;1;0;15,40;9;7;30,02;0
5700;0;69172;HomeImp;Office;1,00;0;0;48,85;0;3;38,77;0
5800;0;36385;HomeImp;Other;2,00;0;0;266,55;1;25;43,31;0
5800;0;41119;HomeImp;Other;2,00;0;0;261,41;0;26;42,19;0
5800;75000;90543;DebtCon;Mgr;18,00;0;0;300,49;1;23;38,94;0
5800;79296;86885;DebtCon;Mgr;19,00;0;1;307,97;1;23;39,96;0
5800;27791;46833;DebtCon;Mgr;3,00;0;0;83,29;1;13;30,19;1
5800;172595;250155;DebtCon;Sales;0,00;0;0;126,40;0;21;43,21;0
5800;0;73804;HomeImp;Office;1,00;0;0;71,77;0;4;41,29;0
5800;46595;58191;HomeImp;Other;5,00;0;0;80,13;0;17;24,14;0
5900;0;28000;DebtCon;Self;1,00;2;1;36,77;1;8;0,00;1
5900;70973;77989;HomeImp;Other;7,00;0;0;120,38;0;24;41,44;0
5900;0;33100;HomeImp;Other;0,00;0;0;238,60;1;2;0,00;1
5900;82912;91175;DebtCon;ProfExe;2,00;0;0;0,00;0;0;27,60;0
5900;25972;41856;DebtCon;Other;2,00;0;2;157,96;3;27;40,63;1
5900;74187;78976;HomeImp;Other;9,00;0;1;118,44;0;24;40,11;0
6000;95232;115977;HomeImp;Office;22,00;0;0;149,02;1;12;37,95;0
6000;47625;85925;HomeImp;Office;0,10;2;1;154,13;4;26;0,00;1
6000;24600;30500;HomeImp;Other;4,50;0;1;116,10;8;34;0,00;1
6000;42000;58305;DebtCon;Other;19,00;0;0;90,00;2;13;0,00;1
6000;32446;54904;HomeImp;Other;2,00;0;0;51,73;1;9;0,00;1
6000;9660;35900;DebtCon;Other;8,00;0;1;136,30;3;6;0,00;1
6000;22859;32200;DebtCon;Other;4,00;0;0;83,33;3;20;0,00;1
6000;72951;80000;HomeImp;Other;22,80;0;0;343,90;1;47;0,00;0
6000;43000;57460;HomeImp;Other;1,60;1;0;101,50;0;13;0,00;0
6000;53500;64790;DebtCon;Other;0,10;0;2;105,40;3;18;0,00;0
6000;69876;94394,07;HomeImp;Other;0,00;0;1;179,57;0;32;0,00;0
6000;51000;86125;HomeImp;ProfExe;6,00;0;0;222,17;2;24;0,00;0
6000;53227;68700;HomeImp;Mgr;3,00;0;2;122,73;0;23;0,00;0
6000;0;43300;HomeImp;Other;0,00;0;0;100,93;0;9;0,00;0
6000;14000;61493;HomeImp;Office;23,00;0;0;321,63;1;13;0,00;0
6000;40000;54600;HomeImp;ProfExe;4,00;0;4;101,40;0;19;0,00;1
6000;18793;27750;HomeImp;Mgr;6,00;0;3;119,70;0;8;0,00;1
6000;179397;200000;DebtCon;ProfExe;5,00;6;0;90,30;6;29;0,00;1
6000;0;95500;HomeImp;Mgr;6,00;1;2;129,90;1;22;0,00;1
6000;79046;103048;HomeImp;Other;0,00;0;0;181,70;0;32;37,29;0
6000;0;43683;HomeImp;Other;0,00;0;0;0,00;0;0;21,94;1
6000;129731;154113;HomeImp;ProfExe;12,00;0;0;213,53;0;19;0,00;0
6100;48500;62500;DebtCon;Mgr;7,00;0;4;111,30;2;11;0,00;0
6100;91704;114799;HomeImp;Office;22,00;0;0;129,25;1;12;36,75;0
6100;47604;54966;HomeImp;Other;5,00;0;0;70,70;0;18;24,77;0
6100;0;35250;HomeImp;Other;0,00;0;0;303,00;0;12;0,00;0
6100;62751;95617;HomeImp;Other;1,00;0;0;138,65;1;13;31,76;1
6100;48300;53388;HomeImp;Office;9,00;0;0;178,49;0;19;26,72;0
6100;68743;65321;HomeImp;Sales;3,00;1;0;153,07;0;22;40,15;0
6100;79636;87276;HomeImp;Other;20,00;0;0;350,44;0;47;28,85;0
6100;78753;95433;DebtCon;ProfExe;0,00;0;0;0,00;0;0;28,93;0
6100;77265;97944;DebtCon;ProfExe;0,00;0;0;0,00;0;0;28,88;0
6200;75657;84368;DebtCon;Sales;4,00;0;0;122,24;0;30;32,55;0
6200;171582;245730;DebtCon;Sales;0,00;0;0;135,11;0;22;39,78;0
6200;46601;59486;HomeImp;Other;5,00;0;0;84,63;0;18;25,35;0
6200;60354;87596;HomeImp;ProfExe;5,00;0;0;210,17;2;23;34,05;0
6200;0;41657;HomeImp;Other;0,00;0;0;293,96;0;11;30,20;0
6200;42100;57385;DebtCon;Other;8,50;0;1;164,80;1;28;0,00;1
6200;70793;71552;HomeImp;Sales;3,00;2;0;162,95;0;23;40,32;0
6200;73881;98550;HomeImp;Other;0,00;0;1;182,88;0;31;37,20;0
6200;75121;96462;DebtCon;ProfExe;0,00;0;0;0,00;0;0;27,17;0
6200;133882;155222;HomeImp;ProfExe;9,00;0;0;212,54;0;19;20,62;0
6200;75623;89634;HomeImp;Other;24,00;0;0;324,69;0;47;28,29;0
6200;45564;61956;HomeImp;Other;2,00;0;0;101,17;0;13;38,68;0
6300;99469;116260;HomeImp;Office;23,00;0;0;124,75;1;12;35,64;0
6300;55000;69000;DebtCon;ProfExe;13,00;0;0;130,07;0;20;0,00;0
6300;0;72890;HomeImp;Office;1,00;0;0;41,25;0;3;39,20;0
6300;0;39050;HomeImp;Other;0,00;0;0;294,48;0;12;31,45;0
6300;78724;80355;HomeImp;Other;24,00;0;0;335,07;1;46;31,18;0
6300;59793;98314;DebtCon;Self;2,20;0;0;120,73;0;8;0,00;1
6300;65875;76000;DebtCon;Mgr;0,80;2;0;84,00;1;12;0,00;1
6300;92659;117352;HomeImp;ProfExe;6,00;0;0;199,01;0;27;26,52;0
6300;58052;70091;DebtCon;ProfExe;9,00;0;4;153,78;1;30;21,72;0
6300;49498;64296;DebtCon;Mgr;6,00;0;4;111,21;1;10;38,58;0
6300;79667;96988;DebtCon;ProfExe;1,00;0;0;0,00;0;0;29,84;0
6300;12476;32559;HomeImp;Office;12,00;3;6;227,13;0;23;23,32;1
6300;69357;73726;HomeImp;Sales;3,00;2;0;163,28;1;22;42,41;0
6300;26655;29792;DebtCon;Other;1,00;1;0;12,76;10;6;28,36;0
6400;25144;45200;HomeImp;Other;25,00;0;2;128,00;4;17;0,00;1
6400;99131;125652;HomeImp;Other;8,00;0;0;419,38;1;50;42,24;0
6400;47251;58157;HomeImp;Other;0,00;0;0;104,79;0;13;36,42;0
6400;53476;70157;DebtCon;ProfExe;7,00;0;3;164,32;1;30;21,14;0
6400;81116;86148;HomeImp;ProfExe;8,00;0;0;262,18;0;11;42,07;0
6400;17491;63614;HomeImp;Office;23,00;0;0;325,30;0;12;40,24;0
6400;65215;74332;HomeImp;Mgr;9,00;0;1;213,83;0;24;40,64;0
6400;62746;75016;DebtCon;ProfExe;12,00;0;0;133,10;0;20;40,19;0
6400;76732;78084;HomeImp;Other;8,00;0;0;109,19;0;26;37,96;0
6400;70035;78635;DebtCon;Sales;3,00;0;0;147,08;0;31;31,21;0
6400;39687;51666;HomeImp;Office;9,00;0;0;177,59;0;19;26,12;0
6400;44968;62747;HomeImp;Other;0,00;1;0;101,39;0;12;36,60;0
6400;9113;46351;HomeImp;Self;0,00;0;0;202,25;0;11;45,11;0
6400;28041;33438;DebtCon;Other;1,00;1;0;10,43;10;6;29,75;0
6400;57887;74776;HomeImp;Mgr;3,00;0;1;126,33;0;22;28,76;0
6500;47949;53102;HomeImp;Office;9,00;0;0;180,84;0;19;27,84;0
6500;0;37448;HomeImp;Other;0,00;0;0;333,23;0;11;29,01;0
6500;60054;70434;HomeImp;Other;1,00;0;0;127,06;2;21;37,80;1
6500;80739;97630;DebtCon;ProfExe;1,00;0;0;0,00;0;0;30,53;0
6500;63144;76754;HomeImp;Mgr;2,00;0;2;129,08;0;23;29,06;0
